gene_id	seqlen
AT1G01010.1	429
AT1G01020.1	245
AT1G01020.2	191
AT1G01020.3	236
AT1G01020.4	236
AT1G01020.5	198
AT1G01020.6	104
AT1G01030.1	358
AT1G01030.2	335
AT1G01040.1	1909
AT1G01040.2	1910
AT1G01050.1	212
AT1G01050.2	212
AT1G01060.1	645
AT1G01060.2	645
AT1G01060.3	645
AT1G01060.4	644
AT1G01060.5	643
AT1G01060.6	643
AT1G01060.7	645
AT1G01060.8	645
AT1G01070.1	365
AT1G01070.2	318
AT1G01080.1	293
AT1G01080.2	294
AT1G01080.3	286
AT1G01090.1	428
AT1G01100.1	112
AT1G01100.2	112
AT1G01100.3	96
AT1G01100.4	112
AT1G01110.1	364
AT1G01110.2	527
AT1G01120.1	528
AT1G01130.1	124
AT1G01140.1	447
AT1G01140.2	449
AT1G01140.3	451
AT1G01150.1	345
AT1G01150.2	309
AT1G01150.3	292
AT1G01160.1	195
AT1G01160.2	229
AT1G01170.1	83
AT1G01170.2	83
AT1G01180.1	307
AT1G01190.1	535
AT1G01190.2	540
AT1G01200.1	237
AT1G01210.1	106
AT1G01210.2	106
AT1G01210.3	106
AT1G01220.1	1055
AT1G01220.2	866
AT1G01220.3	956
AT1G01220.4	948
AT1G01220.5	866
AT1G01220.6	866
AT1G01220.7	1055
AT1G01220.8	956
AT1G01225.1	260
AT1G01230.1	157
AT1G01240.1	331
AT1G01240.2	331
AT1G01240.3	331
AT1G01240.4	331
AT1G01240.5	331
AT1G01250.1	192
AT1G01260.1	590
AT1G01260.2	590
AT1G01260.3	590
AT1G01280.1	510
AT1G01290.1	270
AT1G01290.2	270
AT1G01300.1	485
AT1G01305.1	141
AT1G01310.1	241
AT1G01320.1	1797
AT1G01320.2	1787
AT1G01320.3	1789
AT1G01335.1	40
AT1G01340.1	706
AT1G01340.2	711
AT1G01350.1	343
AT1G01355.1	228
AT1G01355.2	148
AT1G01355.3	224
AT1G01360.1	187
AT1G01370.1	178
AT1G01370.2	178
AT1G01370.3	178
AT1G01370.4	178
AT1G01380.1	83
AT1G01380.2	60
AT1G01380.3	64
AT1G01390.1	480
AT1G01390.2	497
AT1G01400.1	204
AT1G01410.1	361
AT1G01420.1	481
AT1G01420.2	484
AT1G01430.1	456
AT1G01440.1	664
AT1G01450.1	470
AT1G01453.1	267
AT1G01453.2	289
AT1G01460.1	427
AT1G01470.1	151
AT1G01480.1	496
AT1G01480.2	390
AT1G01490.1	177
AT1G01490.2	177
AT1G01490.3	144
AT1G01490.4	204
AT1G01500.1	327
AT1G01510.1	636
AT1G01520.1	287
AT1G01520.2	258
AT1G01520.3	287
AT1G01520.4	258
AT1G01520.5	203
AT1G01530.1	247
AT1G01540.1	386
AT1G01540.2	472
AT1G01550.1	349
AT1G01550.2	349
AT1G01560.1	275
AT1G01560.2	369
AT1G01560.3	346
AT1G01560.4	275
AT1G01570.1	478
AT1G01570.2	509
AT1G01580.1	725
AT1G01580.2	803
AT1G01590.1	704
AT1G01600.1	554
AT1G01610.1	503
AT1G01620.1	286
AT1G01620.2	214
AT1G01630.1	255
AT1G01640.1	207
AT1G01640.2	186
AT1G01650.1	540
AT1G01650.2	398
AT1G01650.3	398
AT1G01650.4	398
AT1G01660.1	568
AT1G01660.2	569
AT1G01670.1	365
AT1G01670.2	365
AT1G01670.3	281
AT1G01680.1	308
AT1G01690.1	451
AT1G01690.2	450
AT1G01690.3	450
AT1G01695.1	433
AT1G01700.1	485
AT1G01700.2	372
AT1G01700.3	461
AT1G01700.4	515
AT1G01700.5	372
AT1G01710.1	427
AT1G01715.1	139
AT1G01715.2	139
AT1G01720.1	289
AT1G01725.1	62
AT1G01730.1	224
AT1G01740.1	483
AT1G01740.2	483
AT1G01740.3	405
AT1G01740.4	405
AT1G01740.5	475
AT1G01750.1	140
AT1G01750.2	145
AT1G01760.1	420
AT1G01760.2	419
AT1G01760.3	433
AT1G01760.4	420
AT1G01770.1	632
AT1G01780.1	205
AT1G01790.1	1193
AT1G01790.2	1193
AT1G01800.1	295
AT1G01800.2	260
AT1G01810.1	160
AT1G01820.1	235
AT1G01830.1	574
AT1G01830.2	574
AT1G01830.3	574
AT1G01840.1	152
AT1G01860.1	343
AT1G01860.2	264
AT1G01860.3	267
AT1G01860.4	346
AT1G01860.5	246
AT1G01880.1	599
AT1G01880.2	598
AT1G01880.3	599
AT1G01880.4	541
AT1G01900.1	774
AT1G01910.1	353
AT1G01910.2	353
AT1G01910.3	303
AT1G01910.4	353
AT1G01910.5	249
AT1G01920.1	572
AT1G01920.2	547
AT1G01920.3	434
AT1G01920.4	503
AT1G01920.5	517
AT1G01930.1	580
AT1G01940.1	160
AT1G01950.1	894
AT1G01950.2	877
AT1G01950.3	915
AT1G01950.4	753
AT1G01960.1	1750
AT1G01970.1	409
AT1G01980.1	541
AT1G01990.1	245
AT1G02000.1	434
AT1G02010.1	673
AT1G02010.2	660
AT1G02010.3	611
AT1G02010.4	703
AT1G02010.5	641
AT1G02010.6	524
AT1G02020.1	642
AT1G02020.2	543
AT1G02020.3	448
AT1G02030.1	267
AT1G02040.1	324
AT1G02050.1	395
AT1G02060.1	710
AT1G02065.1	333
AT1G02065.2	246
AT1G02067.1	73
AT1G02070.1	131
AT1G02080.1	2431
AT1G02080.2	2377
AT1G02080.3	2378
AT1G02090.1	260
AT1G02090.2	225
AT1G02090.3	237
AT1G02100.1	332
AT1G02100.2	306
AT1G02100.3	332
AT1G02110.1	703
AT1G02120.1	598
AT1G02120.2	473
AT1G02120.3	419
AT1G02130.1	203
AT1G02140.1	150
AT1G02145.1	493
AT1G02145.2	332
AT1G02145.3	497
AT1G02145.4	453
AT1G02150.1	524
AT1G02160.1	71
AT1G02160.2	91
AT1G02170.1	367
AT1G02180.1	226
AT1G02190.1	627
AT1G02190.2	623
AT1G02205.1	461
AT1G02205.2	625
AT1G02205.3	630
AT1G02205.4	626
AT1G02205.5	386
AT1G02210.1	87
AT1G02220.1	394
AT1G02230.1	359
AT1G02250.1	362
AT1G02260.1	502
AT1G02260.2	502
AT1G02270.1	484
AT1G02270.2	349
AT1G02280.1	297
AT1G02280.2	297
AT1G02290.1	443
AT1G02300.1	379
AT1G02305.1	362
AT1G02310.1	411
AT1G02310.2	431
AT1G02320.1	48
AT1G02330.1	279
AT1G02335.1	219
AT1G02340.1	292
AT1G02340.2	285
AT1G02350.1	140
AT1G02360.1	272
AT1G02360.2	318
AT1G02360.3	324
AT1G02370.1	537
AT1G02380.1	231
AT1G02390.1	530
AT1G02400.1	329
AT1G02400.2	265
AT1G02405.1	134
AT1G02410.1	287
AT1G02410.2	287
AT1G02410.3	287
AT1G02420.1	491
AT1G02430.1	190
AT1G02430.2	163
AT1G02440.1	190
AT1G02440.2	123
AT1G02450.1	142
AT1G02460.1	491
AT1G02470.1	220
AT1G02470.2	200
AT1G02475.1	219
AT1G02490.1	38
AT1G02500.1	393
AT1G02500.2	393
AT1G02510.1	284
AT1G02520.1	1278
AT1G02520.2	1278
AT1G02520.3	1278
AT1G02530.1	1273
AT1G02530.2	970
AT1G02540.1	290
AT1G02550.1	242
AT1G02560.1	298
AT1G02570.1	278
AT1G02575.1	276
AT1G02580.1	689
AT1G02580.2	584
AT1G02590.1	89
AT1G02610.1	221
AT1G02610.2	203
AT1G02610.3	155
AT1G02620.1	122
AT1G02630.1	389
AT1G02630.2	345
AT1G02640.1	768
AT1G02650.1	513
AT1G02650.2	510
AT1G02660.1	713
AT1G02670.1	678
AT1G02670.2	643
AT1G02670.3	690
AT1G02670.4	528
AT1G02670.5	616
AT1G02670.6	663
AT1G02670.7	667
AT1G02680.1	126
AT1G02690.1	538
AT1G02690.2	539
AT1G02700.1	247
AT1G02705.1	141
AT1G02710.1	96
AT1G02720.1	361
AT1G02720.2	361
AT1G02730.1	1181
AT1G02740.1	327
AT1G02750.1	221
AT1G02750.2	205
AT1G02770.1	316
AT1G02780.1	214
AT1G02790.1	422
AT1G02800.1	501
AT1G02810.1	579
AT1G02813.1	149
AT1G02816.1	166
AT1G02820.1	91
AT1G02830.1	127
AT1G02840.1	303
AT1G02840.2	285
AT1G02840.3	272
AT1G02840.4	272
AT1G02840.5	272
AT1G02850.1	470
AT1G02850.2	497
AT1G02850.3	435
AT1G02850.4	521
AT1G02850.5	520
AT1G02860.1	335
AT1G02860.2	333
AT1G02860.3	244
AT1G02870.1	193
AT1G02880.1	197
AT1G02880.2	264
AT1G02880.3	267
AT1G02880.4	180
AT1G02880.5	197
AT1G02880.6	273
AT1G02890.1	1246
AT1G02890.2	1218
AT1G02900.1	120
AT1G02910.1	453
AT1G02910.2	370
AT1G02920.1	209
AT1G02930.1	208
AT1G02930.2	208
AT1G02940.1	256
AT1G02940.2	281
AT1G02940.3	269
AT1G02940.4	256
AT1G02950.1	243
AT1G02950.2	245
AT1G02950.3	243
AT1G02950.4	217
AT1G02950.5	255
AT1G02960.1	462
AT1G02960.2	471
AT1G02960.3	412
AT1G02960.4	387
AT1G02960.5	421
AT1G02960.6	387
AT1G02965.1	162
AT1G02970.1	500
AT1G02980.1	742
AT1G02980.2	742
AT1G02990.1	1069
AT1G02990.2	1238
AT1G02990.3	1278
AT1G02990.4	1278
AT1G02990.5	1220
AT1G02990.6	1278
AT1G03000.1	941
AT1G03010.1	634
AT1G03010.2	607
AT1G03010.3	633
AT1G03020.1	102
AT1G03030.1	301
AT1G03030.2	294
AT1G03040.1	302
AT1G03040.2	297
AT1G03040.3	333
AT1G03050.1	599
AT1G03055.1	264
AT1G03055.2	200
AT1G03060.1	3601
AT1G03060.2	3600
AT1G03060.3	3571
AT1G03060.4	3572
AT1G03070.1	247
AT1G03070.2	247
AT1G03070.3	247
AT1G03080.1	1733
AT1G03080.2	1733
AT1G03080.3	1733
AT1G03090.1	714
AT1G03090.2	734
AT1G03100.1	793
AT1G03103.1	171
AT1G03106.1	65
AT1G03110.1	427
AT1G03120.1	182
AT1G03120.2	135
AT1G03130.1	204
AT1G03140.1	420
AT1G03150.1	174
AT1G03160.1	912
AT1G03160.2	740
