gene_id	seqlen
ChrUn.fgenesh.mRNA.8	772
ChrUn.fgenesh.mRNA.7	1001
ChrUn.fgenesh.mRNA.71	77
ChrUn.fgenesh.mRNA.11	1152
ChrUn.fgenesh.mRNA.52	1226
ChrUn.fgenesh.mRNA.61	42
ChrUn.fgenesh.mRNA.67	101
ChrUn.fgenesh.mRNA.75	1545
ChrUn.fgenesh.mRNA.32	505
ChrUn.fgenesh.mRNA.29	923
ChrUn.fgenesh.mRNA.15	1758
ChrUn.fgenesh.mRNA.65	94
ChrUn.fgenesh.mRNA.80	1803
ChrUn.fgenesh.mRNA.70	539
ChrUn.fgenesh.mRNA.17	186
ChrUn.fgenesh.mRNA.68	59
ChrUn.fgenesh.mRNA.47	372
ChrUn.fgenesh.mRNA.56	208
ChrUn.fgenesh.mRNA.72	101
ChrUn.fgenesh.mRNA.81	44
ChrUn.fgenesh.mRNA.62	383
ChrUn.fgenesh.mRNA.45	464
ChrUn.fgenesh.mRNA.33	146
ChrUn.fgenesh.mRNA.73	59
ChrUn.fgenesh.mRNA.3	485
ChrUn.fgenesh.mRNA.16	1365
ChrUn.fgenesh.mRNA.10	800
ChrUn.fgenesh.mRNA.6	268
ChrUn.fgenesh.mRNA.50	61
ChrUn.fgenesh.mRNA.59	586
ChrUn.fgenesh.mRNA.43	403
ChrUn.fgenesh.mRNA.90	346
ChrUn.fgenesh.mRNA.55	1113
ChrUn.fgenesh.mRNA.88	1793
ChrUn.fgenesh.mRNA.38	97
ChrUn.fgenesh.mRNA.18	118
ChrUn.fgenesh.mRNA.91	111
ChrUn.fgenesh.mRNA.14	149
ChrUn.fgenesh.mRNA.30	441
ChrUn.fgenesh.mRNA.19	536
ChrUn.fgenesh.mRNA.21	727
ChrUn.fgenesh.mRNA.9	144
ChrUn.fgenesh.mRNA.63	584
ChrUn.fgenesh.mRNA.69	299
ChrUn.fgenesh.mRNA.74	299
ChrUn.fgenesh.mRNA.87	66
ChrUn.fgenesh.mRNA.54	108
ChrUn.fgenesh.mRNA.60	317
ChrUn.fgenesh.mRNA.39	135
ChrUn.fgenesh.mRNA.58	130
ChrUn.fgenesh.mRNA.53	312
ChrUn.fgenesh.mRNA.20	601
ChrUn.fgenesh.mRNA.46	499
ChrUn.fgenesh.mRNA.22	180
ChrUn.fgenesh.mRNA.25	147
ChrUn.fgenesh.mRNA.41	93
ChrUn.fgenesh.mRNA.34	360
ChrUn.fgenesh.mRNA.93	170
ChrUn.fgenesh.mRNA.37	260
ChrUn.fgenesh.mRNA.48	296
ChrUn.fgenesh.mRNA.92	216
ChrUn.fgenesh.mRNA.24	354
ChrUn.fgenesh.mRNA.89	1158
ChrUn.fgenesh.mRNA.83	587
ChrUn.fgenesh.mRNA.23	864
ChrUn.fgenesh.mRNA.77	89
ChrUn.fgenesh.mRNA.2	371
ChrUn.fgenesh.mRNA.94	104
ChrUn.fgenesh.mRNA.31	1848
ChrUn.fgenesh.mRNA.42	733
ChrUn.fgenesh.mRNA.76	715
ChrUn.fgenesh.mRNA.84	144
ChrUn.fgenesh.mRNA.49	669
ChrUn.fgenesh.mRNA.86	467
ChrUn.fgenesh.mRNA.1	107
ChrUn.fgenesh.mRNA.36	779
ChrUn.fgenesh.mRNA.95	699
ChrUn.fgenesh.mRNA.13	215
ChrUn.fgenesh.mRNA.27	1255
ChrUn.fgenesh.mRNA.35	68
ChrUn.fgenesh.mRNA.12	1793
ChrUn.fgenesh.mRNA.66	77
ChrUn.fgenesh.mRNA.5	582
ChrUn.fgenesh.mRNA.57	737
ChrUn.fgenesh.mRNA.96	339
ChrUn.fgenesh.mRNA.85	1123
ChrUn.fgenesh.mRNA.26	921
ChrUn.fgenesh.mRNA.82	496
ChrUn.fgenesh.mRNA.44	130
ChrUn.fgenesh.mRNA.78	144
ChrUn.fgenesh.mRNA.51	1771
ChrUn.fgenesh.mRNA.40	101
ChrUn.fgenesh.mRNA.28	497
ChrUn.fgenesh.mRNA.79	240
ChrUn.fgenesh.mRNA.4	280
ChrUn.fgenesh.mRNA.64	177
LOC_Os10g21248.1	735
LOC_Os10g09870.1	349
LOC_Os10g09870.2	348
LOC_Os10g09870.4	348
LOC_Os10g09870.3	234
LOC_Os10g26620.1	438
LOC_Os10g26570.1	525
LOC_Os10g33810.1	277
LOC_Os10g35100.1	105
LOC_Os10g22260.1	739
LOC_Os10g08530.1	304
LOC_Os10g28610.1	2034
LOC_Os10g19110.1	100
LOC_Os10g29130.1	120
LOC_Os10g29930.1	231
LOC_Os10g39720.1	125
LOC_Os10g02690.1	319
LOC_Os10g32880.1	498
LOC_Os10g06680.1	375
LOC_Os10g28590.1	1173
LOC_Os10g42660.1	351
LOC_Os10g27000.1	90
LOC_Os10g40030.11	320
LOC_Os10g40030.12	320
LOC_Os10g40030.5	320
LOC_Os10g40030.8	320
LOC_Os10g40030.1	320
LOC_Os10g40030.2	320
LOC_Os10g40030.3	320
LOC_Os10g40030.4	320
LOC_Os10g40030.6	294
LOC_Os10g40030.9	231
LOC_Os10g40030.10	222
LOC_Os10g40030.7	217
LOC_Os10g21394.1	394
LOC_Os10g17620.1	571
LOC_Os10g11550.1	158
LOC_Os10g35730.1	342
LOC_Os10g38710.1	234
LOC_Os10g31970.1	1477
LOC_Os10g41420.1	213
LOC_Os10g34790.1	344
LOC_Os10g21780.1	113
LOC_Os10g21310.1	509
LOC_Os10g07004.1	67
LOC_Os10g24860.1	179
LOC_Os10g11640.1	154
LOC_Os10g38130.1	71
LOC_Os10g08360.1	321
LOC_Os10g42130.1	330
LOC_Os10g36110.1	101
LOC_Os10g35850.1	266
LOC_Os10g10190.1	610
LOC_Os10g42590.1	355
LOC_Os10g37100.1	513
LOC_Os10g18520.1	72
LOC_Os10g05150.1	72
LOC_Os10g19910.1	68
LOC_Os10g38090.1	512
LOC_Os10g27060.1	299
LOC_Os10g27060.2	262
LOC_Os10g20240.1	368
LOC_Os10g01770.1	1085
LOC_Os10g33410.1	106
LOC_Os10g28530.1	104
LOC_Os10g01870.1	472
LOC_Os10g26630.1	530
LOC_Os10g27280.1	276
LOC_Os10g37760.1	251
LOC_Os10g37760.2	228
LOC_Os10g05510.1	118
LOC_Os10g05750.1	272
LOC_Os10g35310.1	207
LOC_Os10g03710.1	150
LOC_Os10g03360.1	422
LOC_Os10g03280.1	59
LOC_Os10g07270.1	932
LOC_Os10g35640.1	507
LOC_Os10g35740.1	80
LOC_Os10g10270.1	262
LOC_Os10g21344.1	121
LOC_Os10g40190.1	743
LOC_Os10g05140.1	69
LOC_Os10g17640.1	86
LOC_Os10g22580.1	127
LOC_Os10g10630.1	222
LOC_Os10g20380.1	203
LOC_Os10g40060.1	689
LOC_Os10g40060.2	658
LOC_Os10g40060.4	646
LOC_Os10g40060.3	646
LOC_Os10g37580.1	417
LOC_Os10g18510.1	493
LOC_Os10g39230.1	1362
LOC_Os10g05390.1	144
LOC_Os10g37510.1	145
LOC_Os10g40806.1	441
LOC_Os10g20650.1	345
LOC_Os10g20650.2	343
LOC_Os10g30300.1	97
LOC_Os10g30300.2	97
LOC_Os10g19880.1	852
LOC_Os10g21218.1	71
LOC_Os10g42202.1	1265
LOC_Os10g06500.1	149
LOC_Os10g02780.1	233
LOC_Os10g14020.1	170
LOC_Os10g14020.2	132
LOC_Os10g18450.1	268
LOC_Os10g24150.1	747
LOC_Os10g29610.1	254
LOC_Os10g42710.1	592
LOC_Os10g42710.2	543
LOC_Os10g42710.3	513
LOC_Os10g42710.4	500
LOC_Os10g42710.6	498
LOC_Os10g42710.5	498
LOC_Os10g42710.7	376
LOC_Os10g26070.1	652
LOC_Os10g35130.1	284
LOC_Os10g33390.1	118
LOC_Os10g02930.1	188
LOC_Os10g02930.2	188
LOC_Os10g41940.1	238
LOC_Os10g33104.1	189
LOC_Os10g33104.2	189
LOC_Os10g22720.1	264
LOC_Os10g28210.1	302
LOC_Os10g07986.1	108
LOC_Os10g39250.1	124
LOC_Os10g04210.1	244
LOC_Os10g27360.1	422
